event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank,treated_epss_plus7,treated_percentile_plus7,control_epss_plus7,control_percentile_plus7,treated_percentile_delta_plus7,control_percentile_delta_plus7,att_percentile_delta_plus7,treated_epss_plus30,treated_percentile_plus30,control_epss_plus30,control_percentile_plus30,treated_percentile_delta_plus30,control_percentile_delta_plus30,att_percentile_delta_plus30
66,CVE-2018-8065,2023-05-31,CVE-2018-9276,2025-02-05,8,0.3499999999999998,0.9655,0.99365,0.0,0.4346,0.96808,0.0,0.0255699999999999,1,0.83308,0.97934,0.4346,0.96814,-0.01431,5.999999999994898e-05,-0.0143699999999999,0.85256,0.98037,0.5086,0.97046,-0.01328,0.0023799999999999,-0.01566
67,CVE-2018-8639,2025-03-03,CVE-2018-16606,2025-04-16,12,1.6,0.00071,0.33943,0.0,0.00084,0.3835,0.0,0.04407,1,0.00573,0.78224,0.00084,0.38446,0.44281,0.00096,0.44185,0.23668,0.95535,0.00452,0.6095,0.61592,0.226,0.38992
68,CVE-2018-9276,2025-02-05,CVE-2018-0114,2025-05-05,1,0.3499999999999998,0.811,0.98615,0.0,0.03943,0.92,0.0,0.0661499999999999,1,0.811,0.98619,0.03943,0.91998,4.000000000004e-05,-2.000000000002e-05,6.0000000000060005e-05,0.811,0.98641,0.03943,0.92091,0.00026,0.0009099999999999,-0.0006499999999999
88,CVE-2019-1010060,2025-04-11,CVE-2019-1367,2025-05-29,4,2.6000000000000005,0.31291,0.96403,0.0,0.87865,0.99448,0.0,0.0304499999999999,1,0.31291,0.96456,0.87865,0.99414,0.0005299999999999,-0.00034,0.0008699999999999,0.31291,0.96485,0.87865,0.99424,0.0008199999999999,-0.00024,0.0010599999999999
88,CVE-2019-1010060,2025-04-11,CVE-2019-2725,2025-05-13,1,0.0,0.31291,0.96403,0.0,0.94448,0.99992,0.0,0.0358899999999999,2,0.31291,0.96456,0.94448,0.9999,0.0005299999999999,-2.000000000002e-05,0.0005499999999999,0.31291,0.96485,0.9447,0.99995,0.0008199999999999,2.999999999997449e-05,0.0007899999999999
88,CVE-2019-1010060,2025-04-11,CVE-2019-1069,2025-05-13,2,2.250000000000001,0.31291,0.96403,0.0,0.10373,0.92497,0.0,0.03906,3,0.31291,0.96456,0.10373,0.92733,0.0005299999999999,0.00236,-0.0018300000000001,0.31291,0.96485,0.10373,0.92776,0.0008199999999999,0.00279,-0.0019700000000001
89,CVE-2019-10652,2025-04-10,CVE-2019-0881,2025-05-16,4,0.6499999999999997,0.00829,0.72462,0.0,0.02011,0.82218,0.0,0.0975599999999999,1,0.04331,0.88258,0.02011,0.82677,0.15796,0.0045899999999999,0.15337,0.04331,0.88278,0.02011,0.82721,0.1581599999999999,0.0050299999999999,0.15313
92,CVE-2019-13024,2025-04-10,CVE-2019-1367,2025-05-29,4,1.3500000000000008,0.61921,0.98208,0.0,0.87865,0.99448,0.0,0.0124,1,0.69365,0.9852,0.87865,0.99415,0.00312,-0.00033,0.00345,0.69365,0.98532,0.87865,0.99425,0.00324,-0.00023,0.00347
92,CVE-2019-13024,2025-04-10,CVE-2019-2725,2025-05-13,3,1.3,0.61921,0.98208,0.0,0.94448,0.99992,0.0,0.01784,2,0.69365,0.9852,0.94448,0.9999,0.00312,-2.000000000002e-05,0.00314,0.69365,0.98532,0.9447,0.99995,0.00324,2.999999999997449e-05,0.00321
92,CVE-2019-13024,2025-04-10,CVE-2019-1069,2025-05-13,1,1.050000000000001,0.61921,0.98208,0.0,0.10373,0.92495,0.0,0.0571299999999999,3,0.69365,0.9852,0.10373,0.92728,0.00312,0.0023299999999999,0.00079,0.69365,0.98532,0.10373,0.92782,0.00324,0.0028699999999999,0.00037
