event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank
231,CVE-2022-27254,2025-04-15,CVE-2022-38038,2025-05-16,9,2.75,0.03562,0.87017,0.0,0.0202,0.82675,0.0,0.043420000000000014,3
234,CVE-2022-2827,2025-03-18,CVE-2022-21449,2025-05-05,1,0.05,0.14725,0.94023,0.0,0.54996,0.97839,0.0,0.03815999999999997,1
234,CVE-2022-2827,2025-03-18,CVE-2022-0847,2025-04-30,3,0.3499999999999998,0.14725,0.94023,0.0,0.87402,0.99431,0.0,0.05408000000000002,2
234,CVE-2022-2827,2025-03-18,CVE-2022-30190,2025-05-13,5,0.3499999999999998,0.14725,0.94023,0.0,0.92777,0.99761,0.0,0.05737999999999999,3
235,CVE-2022-29154,2025-01-16,CVE-2022-35768,2025-05-16,12,0.44999999999999946,0.00069,0.32524,0.0,0.00067,0.31876,0.0,0.006479999999999986,1
235,CVE-2022-29154,2025-01-16,CVE-2022-21449,2025-05-05,1,0.09999999999999964,0.00069,0.32524,0.0,0.00071,0.33209,0.0,0.006850000000000023,2
235,CVE-2022-29154,2025-01-16,CVE-2022-3604,2025-05-26,7,0.39999999999999947,0.00069,0.32524,0.0,0.00063,0.29923,0.0,0.026009999999999978,3
236,CVE-2022-29614,2025-04-09,CVE-2022-46908,2025-05-14,4,2.5999999999999996,0.00059,0.15546,0.0,0.00088,0.22695,0.0,0.07149000000000003,1
236,CVE-2022-29614,2025-04-09,CVE-2022-30115,2025-05-13,3,0.7000000000000002,0.00059,0.15546,0.0,0.00099,0.24784,0.0,0.09238000000000002,2
239,CVE-2022-31137,2025-01-29,CVE-2022-22536,2025-04-02,1,0.05,0.94976,0.99489,0.0,0.95749,0.99594,0.0,0.0010499999999999954,1
239,CVE-2022-31137,2025-01-29,CVE-2022-41352,2025-05-13,10,0.24999999999999928,0.94976,0.99489,0.0,0.91028,0.99131,0.0,0.0035800000000000276,2
239,CVE-2022-31137,2025-01-29,CVE-2022-37061,2025-04-16,6,0.24999999999999928,0.94976,0.99489,0.0,0.97004,0.99854,0.0,0.003649999999999931,3
240,CVE-2022-31470,2023-09-08,CVE-2022-22126,2025-04-11,2,0.05,0.00068,0.28093,0.0,0.0007,0.28871,0.0,0.007780000000000009,1
240,CVE-2022-31470,2023-09-08,CVE-2022-23053,2025-04-11,3,0.05,0.00068,0.28093,0.0,0.0007,0.28871,0.0,0.007780000000000009,2
240,CVE-2022-31470,2023-09-08,CVE-2022-23054,2025-04-11,4,0.05,0.00068,0.28093,0.0,0.0007,0.28871,0.0,0.007780000000000009,3
242,CVE-2022-31764,2025-02-06,CVE-2022-4046,2025-04-22,5,0.3500000000000007,0.00043,0.11478,1.0,0.00047,0.19541,0.0,0.08063000000000001,1
243,CVE-2022-32144,2024-12-20,CVE-2022-4046,2025-04-22,4,0.25000000000000105,0.00043,0.10892,0.0,0.00047,0.19068,0.0,0.08175999999999999,1
245,CVE-2022-3236,2025-04-17,CVE-2022-38181,2025-05-23,2,1.25,0.92859,0.99744,0.0,0.22995,0.95511,0.0,0.04232999999999998,1
250,CVE-2022-35914,2024-05-19,CVE-2022-37061,2025-04-16,1,0.0,0.97385,0.99912,0.0,0.97474,0.99965,0.0,0.0005300000000000304,1
250,CVE-2022-35914,2024-05-19,CVE-2022-42889,2025-04-18,2,0.0,0.97385,0.99912,0.0,0.97166,0.99809,0.0,0.0010299999999999754,2
250,CVE-2022-35914,2024-05-19,CVE-2022-40684,2025-03-18,10,0.05,0.97385,0.99912,0.0,0.97128,0.99795,0.0,0.0011700000000000044,3
251,CVE-2022-35919,2023-10-09,CVE-2022-29154,2025-01-16,1,0.05,0.00141,0.49396,0.0,0.00116,0.4496,0.0,0.04436000000000001,1
