event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance
303,CVE-2022-47877,2023-05-05,CVE-2022-27254,2025-04-15,7,0.15000000000000052
303,CVE-2022-47877,2023-05-05,CVE-2022-27779,2025-05-13,8,0.15000000000000052
303,CVE-2022-47877,2023-05-05,CVE-2022-29614,2025-04-09,9,0.45000000000000034
303,CVE-2022-47877,2023-05-05,CVE-2022-23409,2025-04-16,10,0.5
303,CVE-2022-47877,2023-05-05,CVE-2022-31470,2023-09-08,11,0.6999999999999993
303,CVE-2022-47877,2023-05-05,CVE-2022-4953,2023-09-08,12,0.6999999999999993
300,CVE-2022-47874,2023-05-05,CVE-2022-41545,2025-02-19,1,0.14999999999999963
300,CVE-2022-47874,2023-05-05,CVE-2022-26118,2025-02-11,2,0.25000000000000017
300,CVE-2022-47874,2023-05-05,CVE-2022-41328,2025-03-12,3,0.25000000000000017
300,CVE-2022-47874,2023-05-05,CVE-2022-31470,2023-09-08,4,0.40000000000000036
300,CVE-2022-47874,2023-05-05,CVE-2022-4953,2023-09-08,5,0.40000000000000036
300,CVE-2022-47874,2023-05-05,CVE-2022-4407,2025-04-16,6,0.40000000000000036
300,CVE-2022-47874,2023-05-05,CVE-2022-22126,2025-04-11,7,0.45000000000000034
300,CVE-2022-47874,2023-05-05,CVE-2022-23053,2025-04-11,8,0.45000000000000034
300,CVE-2022-47874,2023-05-05,CVE-2022-23054,2025-04-11,9,0.45000000000000034
300,CVE-2022-47874,2023-05-05,CVE-2022-2390,2025-04-26,10,0.45000000000000034
300,CVE-2022-47874,2023-05-05,CVE-2022-42821,2025-01-13,11,1.05
300,CVE-2022-47874,2023-05-05,CVE-2022-23824,2025-02-07,12,1.05
304,CVE-2022-47878,2023-05-05,CVE-2022-20655,2024-11-15,1,0.05
304,CVE-2022-47878,2023-05-05,CVE-2022-45185,2025-01-08,2,0.05
304,CVE-2022-47878,2023-05-05,CVE-2022-4046,2025-04-22,3,0.05
304,CVE-2022-47878,2023-05-05,CVE-2022-22620,2025-05-10,4,0.05
304,CVE-2022-47878,2023-05-05,CVE-2022-0811,2025-05-13,5,0.05
304,CVE-2022-47878,2023-05-05,CVE-2022-26500,2025-05-13,6,0.05
304,CVE-2022-47878,2023-05-05,CVE-2022-38181,2025-05-23,7,0.05
304,CVE-2022-47878,2023-05-05,CVE-2022-4975,2025-01-27,8,0.14999999999999963
304,CVE-2022-47878,2023-05-05,CVE-2022-32144,2024-12-20,9,0.25000000000000105
304,CVE-2022-47878,2023-05-05,CVE-2022-43939,2025-03-04,10,0.25000000000000105
304,CVE-2022-47878,2023-05-05,CVE-2022-2601,2025-05-14,11,0.25000000000000105
304,CVE-2022-47878,2023-05-05,CVE-2022-24715,2023-07-15,12,0.3000000000000007
305,CVE-2022-47879,2023-05-05,CVE-2022-47076,2023-06-22,1,0.0
305,CVE-2022-47879,2023-05-05,CVE-2022-28171,2023-07-19,2,0.0
305,CVE-2022-47879,2023-05-05,CVE-2022-2827,2025-03-18,3,0.05
305,CVE-2022-47879,2023-05-05,CVE-2022-40242,2025-03-18,4,0.05
305,CVE-2022-47879,2023-05-05,CVE-2022-21449,2025-05-05,5,0.05
305,CVE-2022-47879,2023-05-05,CVE-2022-35919,2023-10-09,6,0.09999999999999964
305,CVE-2022-47879,2023-05-05,CVE-2022-29154,2025-01-16,7,0.14999999999999963
305,CVE-2022-47879,2023-05-05,CVE-2022-46908,2025-05-14,8,0.25000000000000017
305,CVE-2022-47879,2023-05-05,CVE-2022-47636,2023-08-10,9,0.2999999999999998
305,CVE-2022-47879,2023-05-05,CVE-2022-38028,2025-04-17,10,0.3499999999999998
305,CVE-2022-47879,2023-05-05,CVE-2022-0847,2025-04-30,11,0.3499999999999998
305,CVE-2022-47879,2023-05-05,CVE-2022-24521,2025-05-13,12,0.3499999999999998
344,CVE-2023-2246,2023-05-05,CVE-2023-3187,2023-06-13,1,0.0
344,CVE-2023-2246,2023-05-05,CVE-2023-25187,2023-06-20,2,0.0
344,CVE-2023-2246,2023-05-05,CVE-2023-38501,2023-07-28,3,0.0
344,CVE-2023-2246,2023-05-05,CVE-2023-4407,2023-09-04,4,0.0
344,CVE-2023-2246,2023-05-05,CVE-2023-4548,2023-09-08,5,0.0
344,CVE-2023-2246,2023-05-05,CVE-2023-4708,2023-10-09,6,0.0
344,CVE-2023-2246,2023-05-05,CVE-2023-34096,2023-06-09,7,0.20000000000000018
344,CVE-2023-2246,2023-05-05,CVE-2023-2779,2023-06-20,8,0.20000000000000018
344,CVE-2023-2246,2023-05-05,CVE-2023-3320,2023-06-20,9,0.20000000000000018
